age.group,population,proportion,year
"[0,5)",583492,0.0553236334709253,2005
"[5,10)",593148,0.0562391644547181,2005
"[10,15)",632157,0.0599377920589823,2005
"[15,20)",626921,0.05944134215932,2005
"[20,25)",649588,0.0615905075290003,2005
"[25,30)",663176,0.0628788500111644,2005
"[30,35)",705878,0.0669276283945449,2005
"[35,40)",773177,0.0733085645666943,2005
"[40,45)",823305,0.0780614370973041,2005
"[45,50)",779436,0.0739020099299461,2005
"[50,55)",710061,0.0673242383888703,2005
"[55,60)",674177,0.0639219067999698,2005
"[60,65)",508701,0.0482323453797022,2005
"[65,70)",496720,0.0470963701604787,2005
70+,1326948,0.125814209598379,2005
