age.group,population,proportion,year
"[0,5)",3599277,0.0440703100355654,2005
"[5,10)",3972734,0.0486429966542814,2005
"[10,15)",4202434,0.051455492112444,2005
"[15,20)",4712246,0.0576977382357215,2005
"[20,25)",4783932,0.0585754768052202,2005
"[25,30)",4734399,0.0579689842604697,2005
"[30,35)",5081555,0.0622196358637519,2005
"[35,40)",6755465,0.0827153444940222,2005
"[40,45)",7067208,0.0865323918236435,2005
"[45,50)",6290328,0.0770201085344079,2005
"[50,55)",5483650,0.0671429722209567,2005
"[55,60)",4691640,0.0574454340066797,2005
"[60,65)",4895592,0.0599426654985525,2005
"[65,70)",5233504,0.0640801316076456,2005
70+,10167279,0.124490317846638,2005
