age.group,participants,proportion
"[0,5)",85,0.0666666666666667
"[5,10)",90,0.0705882352941176
"[10,15)",110,0.0862745098039216
"[15,20)",120,0.0941176470588235
"[20,25)",117,0.0917647058823529
"[25,30)",73,0.0572549019607843
"[30,35)",57,0.0447058823529412
"[35,40)",69,0.0541176470588235
"[40,45)",86,0.0674509803921569
"[45,50)",93,0.0729411764705882
"[50,55)",88,0.0690196078431373
"[55,60)",74,0.0580392156862745
"[60,65)",83,0.0650980392156863
"[65,70)",73,0.0572549019607843
70+,57,0.0447058823529412
