age.group,participants,proportion
"[0,5)",91,0.0904572564612326
"[5,10)",97,0.0964214711729622
"[10,15)",98,0.0974155069582505
"[15,20)",88,0.0874751491053678
"[20,25)",58,0.0576540755467197
"[25,30)",57,0.0566600397614314
"[30,35)",60,0.0596421471172962
"[35,40)",62,0.0616302186878728
"[40,45)",60,0.0596421471172962
"[45,50)",64,0.0636182902584493
"[50,55)",59,0.058648111332008
"[55,60)",60,0.0596421471172962
"[60,65)",62,0.0616302186878728
"[65,70)",64,0.0636182902584493
70+,26,0.025844930417495
