age.group,participants,proportion
"[0,5)",95,0.0939663699307616
"[5,10)",102,0.100890207715134
"[10,15)",102,0.100890207715134
"[15,20)",105,0.103857566765579
"[20,25)",59,0.0583580613254204
"[25,30)",59,0.0583580613254204
"[30,35)",60,0.0593471810089021
"[35,40)",70,0.0692383778437191
"[40,45)",62,0.0613254203758655
"[45,50)",55,0.0544015825914936
"[50,55)",66,0.0652818991097923
"[55,60)",54,0.0534124629080119
"[60,65)",66,0.0652818991097923
"[65,70)",27,0.0267062314540059
70+,29,0.0286844708209693
