age.group,participants,proportion
"[0,5)",78,0.0926365795724466
"[5,10)",82,0.0973871733966746
"[10,15)",93,0.110451306413302
"[15,20)",70,0.0831353919239905
"[20,25)",53,0.0629453681710214
"[25,30)",38,0.0451306413301663
"[30,35)",50,0.0593824228028504
"[35,40)",56,0.0665083135391924
"[40,45)",59,0.0700712589073634
"[45,50)",60,0.0712589073634204
"[50,55)",54,0.0641330166270784
"[55,60)",51,0.0605700712589074
"[60,65)",47,0.0558194774346793
"[65,70)",28,0.0332541567695962
70+,23,0.0273159144893112
