age.group,participants,proportion
"[0,5)",98,0.093244529019981
"[5,10)",95,0.0903901046622265
"[10,15)",112,0.106565176022835
"[15,20)",108,0.102759276879163
"[20,25)",54,0.0513796384395814
"[25,30)",71,0.0675547098001903
"[30,35)",46,0.043767840152236
"[35,40)",58,0.055185537583254
"[40,45)",68,0.0647002854424358
"[45,50)",67,0.0637488106565176
"[50,55)",63,0.0599429115128449
"[55,60)",77,0.0732635585156993
"[60,65)",65,0.0618458610846813
"[65,70)",29,0.027592768791627
70+,40,0.0380589914367269
