age.group,participants,proportion
"[0,5)",32,0.126482213438735
"[5,10)",17,0.0671936758893281
"[10,15)",30,0.118577075098814
"[15,20)",16,0.0632411067193676
"[20,25)",12,0.0474308300395257
"[25,30)",14,0.0553359683794466
"[30,35)",8,0.0316205533596838
"[35,40)",13,0.0513833992094862
"[40,45)",7,0.0276679841897233
"[45,50)",14,0.0553359683794466
"[50,55)",13,0.0513833992094862
"[55,60)",13,0.0513833992094862
"[60,65)",18,0.0711462450592885
"[65,70)",17,0.0671936758893281
70+,29,0.114624505928854
