age.group,population,proportion,year
"[0,5)",1787552,0.0465961262241522,2005
"[5,10)",2041752,0.0532223587959484,2005
"[10,15)",2542944,0.0662869329703138,2005
"[15,20)",2914530,0.0759730669452291,2005
"[20,25)",3323568,0.0866354623767884,2005
"[25,30)",3120358,0.0813383863700429,2005
"[30,35)",2707159,0.0705675261323025,2005
"[35,40)",2383924,0.0621417578972728,2005
"[40,45)",2549042,0.066445889564424,2005
"[45,50)",3108051,0.0810175797443108,2005
"[50,55)",2948485,0.0768581720867529,2005
"[55,60)",2403301,0.0626468582455957,2005
"[60,65)",1515202,0.0394967775186891,2005
"[65,70)",1562268,0.0407236471576512,2005
70+,3454538,0.0900494579705262,2005
